"VispuntWID ""WaarnemingWID"" ""Datum"" ""VispuntX"" ""VispuntY"" ""geometry"""
157 1240 8299 2010-09-10 153632 178620.01 c(153632, 178620.01)
158 1237 8300 2010-09-10 158246 185308.01 c(158246, 185308.01)
159 1240 8302 2010-02-16 153632 178620.01 c(153632, 178620.01)
160 1237 8303 2010-02-16 158246 185308.01 c(158246, 185308.01)
161 1240 8305 2010-07-22 153632 178620.01 c(153632, 178620.01)
162 1237 8307 2010-07-22 158246 185308.01 c(158246, 185308.01)
163 1237 8308 2010-03-16 158246 185308.01 c(158246, 185308.01)
164 1240 8309 2010-03-16 153632 178620.01 c(153632, 178620.01)
165 1240 8311 2010-04-13 153632 178620.01 c(153632, 178620.01)
166 1237 8312 2010-04-12 158246 185308.01 c(158246, 185308.01)
167 1237 8313 2010-05-18 158246 185308.01 c(158246, 185308.01)
168 1240 8314 2010-05-18 153632 178620.01 c(153632, 178620.01)
169 1240 8329 2010-11-04 153632 178620.01 c(153632, 178620.01)
170 1237 8330 2010-11-04 158246 185308.01 c(158246, 185308.01)
171 511 8334 2010-10-12 52617 212765.01 c(52617, 212765.01)
172 511 8335 2010-10-11 52617 212765.01 c(52617, 212765.01)
173 510 8336 2010-10-12 54607 212040.01 c(54607, 212040.01)
174 510 8337 2010-10-11 54607 212040.01 c(54607, 212040.01)
175 524 8341 2010-10-11 71183 211908.01 c(71183, 211908.01)
176 524 8342 2010-10-14 71183 211908.01 c(71183, 211908.01)
177 513 8343 2010-10-14 70606 208929.01 c(70606, 208929.01)
178 508 8346 2010-10-11 83869 199991.01 c(83869, 199991.01)
179 508 8347 2010-10-14 83869 199991.01 c(83869, 199991.01)
180 529 8348 2010-10-14 80106 202586.01 c(80106, 202586.01)
181 3265 8353 2010-10-11 99840 197959.01 c(99840, 197959.01)
182 3265 8354 2010-10-12 99840 197959.01 c(99840, 197959.01)
183 138 8361 2010-10-20 66687 180714.01 c(66687, 180714.01)
184 138 8369 2010-10-19 66687 180714.01 c(66687, 180714.01)
185 140 8370 2010-10-20 69996 179530.01 c(69996, 179530.01)
186 140 8371 2010-10-19 69996 179530.01 c(69996, 179530.01)
187 145 8372 2010-10-20 72127 178980.01 c(72127, 178980.01)
188 145 8373 2010-10-20 72127 178980.01 c(72127, 178980.01)
189 145 8374 2010-10-19 72127 178980.01 c(72127, 178980.01)
190 149 8375 2010-10-21 77900 176826.01 c(77900, 176826.01)
191 149 8376 2010-10-19 77900 176826.01 c(77900, 176826.01)
192 1824 8378 2010-11-08 215633 183291.01 c(215633, 183291.01)
193 604 8380 2010-09-21 33323 192793.01 c(33323, 192793.01)
194 604 8381 2010-09-21 33323 192793.01 c(33323, 192793.01)
195 84 8418 2010-09-13 243874 187347.01 c(243874, 187347.01)
196 84 8419 2010-09-14 243874 187347.01 c(243874, 187347.01)
197 82 8420 2010-09-14 244225 183410.01 c(244225, 183410.01)
198 82 8421 2010-09-13 244225 183410.01 c(244225, 183410.01)
199 81 8422 2010-09-14 243851 179667.01 c(243851, 179667.01)
200 81 8424 2010-09-13 243851 179667.01 c(243851, 179667.01)
201 1874 8480 2011-03-21 183265 185910.01 c(183265, 185910.01)
202 1872 8481 2011-03-21 183689 185682.01 c(183689, 185682.01)
203 703 8485 2011-04-21 40719 176211.01 c(40719, 176211.01)
204 701 8486 2011-04-21 39214 183756.01 c(39214, 183756.01)
205 1535 8488 2011-03-14 118777 158790.01 c(118777, 158790.01)
206 1951 8489 2011-03-14 123006 161322.01 c(123006, 161322.01)
207 1192 8490 2011-03-14 126686 157746.01 c(126686, 157746.01)
208 1871 8492 2011-03-22 186280 185890.01 c(186280, 185890.01)
209 1442 8493 2011-03-15 121388 160381.01 c(121388, 160381.01)
210 1626 8494 2011-03-15 125829 158898.01 c(125829, 158898.01)
211 1439 8496 2011-03-16 124506 159309.01 c(124506, 159309.01)
212 1441 8497 2011-03-16 125790 157110.01 c(125790, 157110.01)
213 1777 8499 2011-03-23 174965 183353.01 c(174965, 183353.01)
214 1776 8500 2011-03-23 176571 180562.01 c(176571, 180562.01)
215 2747 8503 2011-04-27 223448 217226.01 c(223448, 217226.01)
216 2877 8504 2011-04-27 223440 213498.01 c(223440, 213498.01)
217 2778 8505 2011-04-27 224732 212007.01 c(224732, 212007.01)
218 2737 8507 2011-04-26 224721 207520.01 c(224721, 207520.01)
219 3106 8508 2011-04-26 223397 204756.01 c(223397, 204756.01)
220 1607 8510 2011-04-18 96309 176540.01 c(96309, 176540.01)
221 1173 8511 2011-04-18 98003 180260.01 c(98003, 180260.01)
222 984 8513 2011-04-19 108679 180312.01 c(108679, 180312.01)
223 2615 8523 2011-06-14 240138 209085.01 c(240138, 209085.01)
224 2958 8525 2011-06-14 247915 207558.01 c(247915, 207558.01)
225 3140 8527 2011-06-15 242758 206004.01 c(242758, 206004.01)
226 3141 8528 2011-06-15 238770 204674.01 c(238770, 204674.01)
227 2507 8529 2011-04-14 184965 213826.01 c(184965, 213826.01)
228 2905 8530 2011-04-14 185327 213677.01 c(185327, 213677.01)
229 3078 8532 2011-04-15 181515 204836.01 c(181515, 204836.01)
230 2506 8534 2011-04-13 193482 224778.01 c(193482, 224778.01)
231 34 8540 2011-06-01 97593 197285.01 c(97593, 197285.01)
232 47 8541 2011-06-01 98796 197363.01 c(98796, 197363.01)
233 246 8542 2011-06-01 100663 204230.01 c(100663, 204230.01)
234 570 8544 2011-05-31 103123 203412.01 c(103123, 203412.01)
235 52 8545 2011-05-31 106052 205458.01 c(106052, 205458.01)
236 241 8546 2011-05-31 107714 206382.01 c(107714, 206382.01)
237 2336 8548 2011-03-17 236176 191111.01 c(236176, 191111.01)
238 2328 8551 2011-03-17 241436 197087.01 c(241436, 197087.01)
239 1824 8552 2011-04-12 215633 183291.01 c(215633, 183291.01)
240 568 8553 2011-04-01 144289 194058.01 c(144289, 194058.01)
241 647 8556 2011-05-23 41670 199935.01 c(41670, 199935.01)
242 647 8557 2011-05-23 41670 199935.01 c(41670, 199935.01)
243 651 8558 2011-05-24 43791 192877.01 c(43791, 192877.01)
244 651 8559 2011-05-23 43791 192877.01 c(43791, 192877.01)
245 673 8560 2011-05-24 41093 187917.01 c(41093, 187917.01)
246 673 8561 2011-05-23 41093 187917.01 c(41093, 187917.01)
247 660 8564 2011-05-26 31559 183196.01 c(31559, 183196.01)
248 660 8565 2011-05-23 31559 183196.01 c(31559, 183196.01)
249 644 8566 2011-05-26 34143 183442.01 c(34143, 183442.01)
250 644 8567 2011-05-23 34143 183442.01 c(34143, 183442.01)
251 641 8568 2011-05-23 27264 180334.01 c(27264, 180334.01)
252 641 8569 2011-05-24 27264 180334.01 c(27264, 180334.01)
253 2727 8578 2011-06-20 199409 239599.01 c(199409, 239599.01)
254 2724 8579 2011-06-20 197065 237087.01 c(197065, 237087.01)
255 2733 8581 2011-06-22 196155 242163.01 c(196155, 242163.01)
256 667 8584 2011-05-24 26150 179533.01 c(26150, 179533.01)
257 1768 8586 2011-05-11 200729 183672.01 c(200729, 183672.01)
258 1862 8587 2011-05-09 194264 181689.01 c(194264, 181689.01)
259 1860 8588 2011-05-09 195082 182911.01 c(195082, 182911.01)
260 1762 8590 2011-05-12 190990 171949.01 c(190990, 171949.01)
